location,parameter,value,date,unit,coordinates,country,city
FR04012,no2,50.5,"{'utc': '2021-06-29T18:00:00+00:00', 'local': '2021-06-29T20:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,26.9,"{'utc': '2021-07-25T06:00:00+00:00', 'local': '2021-07-25T08:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,29.0,"{'utc': '2021-08-31T23:00:00+00:00', 'local': '2021-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,65.6,"{'utc': '2021-09-30T16:00:00+00:00', 'local': '2021-09-30T18:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,43.6,"{'utc': '2021-10-31T23:00:00+00:00', 'local': '2021-11-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,18.6,"{'utc': '2021-11-30T23:00:00+00:00', 'local': '2021-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,53.0,"{'utc': '2021-12-31T23:00:00+00:00', 'local': '2022-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,52.6,"{'utc': '2022-01-31T21:00:00+00:00', 'local': '2022-01-31T22:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,84.0,"{'utc': '2022-02-28T23:00:00+00:00', 'local': '2022-03-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,20.4,"{'utc': '2022-03-31T23:00:00+00:00', 'local': '2022-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,36.3,"{'utc': '2022-04-30T23:00:00+00:00', 'local': '2022-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,50.1,"{'utc': '2022-05-31T23:00:00+00:00', 'local': '2022-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,33.1,"{'utc': '2022-06-30T23:00:00+00:00', 'local': '2022-07-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,22.6,"{'utc': '2022-07-31T23:00:00+00:00', 'local': '2022-08-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,38.9,"{'utc': '2022-08-31T23:00:00+00:00', 'local': '2022-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,28.4,"{'utc': '2022-09-30T23:00:00+00:00', 'local': '2022-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,84.1,"{'utc': '2022-10-28T19:00:00+00:00', 'local': '2022-10-28T21:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,35.8,"{'utc': '2022-11-30T23:00:00+00:00', 'local': '2022-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,34.4,"{'utc': '2022-12-31T23:00:00+00:00', 'local': '2023-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,21.8,"{'utc': '2023-01-31T23:00:00+00:00', 'local': '2023-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,77.5,"{'utc': '2023-02-16T00:00:00+00:00', 'local': '2023-02-16T01:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,10.9,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,79.5,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,30.5,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,32.8,"{'utc': '2023-06-14T03:00:00+00:00', 'local': '2023-06-14T05:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,16.8,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,71.0,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,26.1,"{'utc': '2023-10-31T23:00:00+00:00', 'local': '2023-11-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,32.4,"{'utc': '2023-11-30T23:00:00+00:00', 'local': '2023-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no2,22.2,"{'utc': '2023-12-31T23:00:00+00:00', 'local': '2024-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
Amsterdam-Vondelpark,co,0.2906,"{'utc': '2021-02-27T03:00:00+00:00', 'local': '2021-02-27T04:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.3145,"{'utc': '2021-04-30T04:00:00+00:00', 'local': '2021-04-30T06:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
